sentence,label,Manual_Predictions
"According to the present invention, a faster search process using Public-key Encryption with Keyword Search can be achieved.",1,1
"', 'The above touch switch is preferably structured such that the sensor electrodes are densely-arranged in an upper portion of a reference region of the substrate where the wire electrodes are provided.",0,0
"', 'In addition, it is an object of the present invention to provide a method for pre-acquiring a parameter required for a RoHC initialization procedure in a unidirectional transmission system.",2,0
"', 'In this configuration, as compared to a case where the protruding section is a single member, the length of the protruding section in a forward and rearward direction can be reduced, and a good downforce can be produced.",0,1
"That is to say, it is not easy to make a shot with a camera or make an input to a photoelectric conversion element when the sunlight directly gets into the sensor.",2,2
There are many theoretical tools for the signal prediction based on a statistical model of a signal.,2,0
The chamfered edge has a curved shape.,0,0
Deformation or damage of an ink layer printed on the base film as described above is called a foil flow or ink flow.,2,0
"', 'To overcome these problems, an embodiment of the present invention provides an image capturing technique for obtaining multi-viewpoint images with the incoming light used highly efficiently without making any mechanical driving.",2,1
"clamps, electroscalpel, scissors, etc.",2,0
"However, in the typical conventional technique in Patent Literature 1, a connection plug and a connection plug receiver are not only waterproof, but also are special in that they have high tensile strength because the weight of the jumper cable is applied to the connection plug.",2,2
"Here, the height of the blade is adjusted strictly when installed on the recoater head, in order to stably form a thin material powder layer having a thickness of 300 μm or less.",2,0
"', 'Moreover, the clock signal (i) is inputted from an input terminal of the first inverter corresponding to a column counter circuit group located first among the column counter circuit groups, (ii) passes the first inverter corresponding to a column counter circuit group to which a column counter circuit belongs, (iii) passes the output terminal of the first inverter, and the second inverter or the buffer connected between the output terminal and the column counter circuit, and (iv) is distributed to the column counter circuit, the first inverter being included in the upper clock stage.",0,0
"However, the thickness of the material to be machined is not constant, and is changed in the range of the specification set in advance.",2,2
"', 'The metadata generating unit can generate the metadata by decimation in frequency.",0,0
"When the current gain (α) of the bipolar transistor that forms the multiplier core fluctuates in an unpredictable manner, the output voltage Vout obtained by the multiplier core multiplying the two input signals Vx and Vy becomes Vout=K·(Vx·Vy/I0)·α.",1,0
"', 'When transmission is desired even on the power reception side at a predetermined time to maintain high impedance on the transmission side and the other reception side in order to make two-way communication possible, and if a method for transmitting information by operating a provided differential driving circuit is employed, restrictive two-way communication is possible.",0,0
"', 'The present invention is proposed to overcome the above-mentioned disadvantages, and an object of the present invention is to provide a refrigerator that the height of the shelves provided in the cooling room and the freezing room is controlled easily.",2,1
"', 'According to the present invention, even in the case where the resin injection port of the mold is formed at such a position that the exterior resin is brought into contact with the capacitor element, the solid electrolytic capacitor in which pin holes are less likely to be formed can be manufactured.",1,1
This achieves the low thermal resistance of the whole semiconductor device to maintain the improvement in quality of the semiconductor device and to achieve the long life of the semiconductor device.,1,1
"', 'According to the first aspect of the present invention, it is possible to separately and precisely leakage amounts between partitioned spaces and leakage amounts from the spaces to the outside.",1,1
"Further, the conductive laminate according to the exemplary embodiment of the present specification has excellent durability.",1,1
"', 'The present disclosure provides a battery device capable of reducing the speed of current inflow towards the load capacitor, thereby preventing the load capacitor from being damaged.",2,1
The sensory evaluation device and the skin evaluation method disclosed in the present application determine a skin sensory evaluation value at high precision by use of at least two characteristic indices of an image of skin.,1,1
"To achieve the above object, according to a first aspect of the invention, an inner-focus large-aperture medium-telephoto lens system includes, as lens groups, a first lens group having a positive refractive power, a second lens group having a positive refractive power, and a third lens group in order from the object side.",0,0
"', 'Thereby, it is possible to obtain the magnetic powder having high saturation magnetic flux density and low magnetic loss which are not inferior to the case in which the powder structure is formed of only an amorphous phase even though a crystalline phase, such as an α-Fe phase (ferrite phase) having a body-centered cubic crystal structure or a compound phase having a large effect on magnetic characteristics, is contained in the magnetic powder.",0,0
"In the invention, since the plurality of teeth of the armature core are formed on the core body at equal intervals along the circumferential direction, the respective teeth and the respective slots are present point-symmetrically around the rotary shaft.",1,0
"As the result thereof, an adhering efficiency between a cell and a fiber that is a scaffold with the cell is improved, and, a feed efficiency of a nutrient and oxygen indispensable for cells is improved; accordingly, the cell proliferability is excellent and high density culture can be conducted.",1,1
Such a sealant layer entirely exhibits sufficient sealing performance.,1,1
This makes it easily possible to attach the current detector to another pre-installed busbar.,1,1
This makes it possible to easily and manually adjust the height using the height adjustment mechanism.,0,1
"', 'The present invention also relates to a method for surface-modifying a rubber vulcanizate or a thermoplastic elastomer as a modification target, the method including: step I of radically polymerizing a non-functional monomer in the presence of a photopolymerization initiator A on a surface of the modification target to grow non-functional polymer chains; and step II of radically polymerizing a polymerizable silane compound in the presence of a photopolymerization initiator B on a surface of the non-functional polymer chains or adding a silane compound to a surface of the non-functional polymer chains, and further reacting a perfluoroether group-containing silane compound to grow functional polymer chains.",0,0
"13 is a graph showing an example of a profile of intensity (IR intensity) of infrared light with a wavelength of 912 nm emitted from a display apparatus, i.e.",2,0
"At a discharge side end portion of the slide valve, a first discharge channel for leading the compressed gas discharged from the discharge port and leading the compressed gas to the discharge chamber and a second discharge channel provided on a radial direction outer side of the first discharge channel and opened to the first discharge channel and the discharge chamber to lead a part of the compressed gas flowing in the first discharge channel and feed the part of the compressed gas to the discharge chamber.",0,0
"And, due to the time-lagged feedback, preventing proliferation of the defect is difficult.",2,2
"A medical treatment device according to any one of the above-mentioned items 1 to 11, further including a turning member, which is provided at a connection portion between the shaft portion and the operation portion, for rotating a shaft to rotate the bent holder.",0,0
"', 'Specifically, embodiments of the present invention provide the following (1) to (6).",0,0
"The computer 1000 may be a computer controlling various devices mounted on various vehicles (an automobile, a train, an aircraft, or the like).",1,0
The rigidity of the frame can accordingly be increased by the reinforcement rib.,0,0
"', 'According to the aspect of the invention described herein, the structure body containing gas phase includes the expanded sheet configured to include an expanded body and the non-woven cloth.",1,0
It should be noted that the effect described here is not necessarily limitative and may be any effect described in the present technology or an effect different from these.,1,0
This embodiment is characterized by including the following feature (1).,0,0
"', 'As described above, since the position of the moving node can be accurately estimated by using the LTE signal in which the signal strength rarely changes between the measurement points on the movement route, it is possible to provide a wireless localization service that covers an outdoor space and an internal area.",1,0
"For example, the copper alloy stranded wire of the present invention includes an aspect in which more than one copper alloy wires of the present invention are stranded.",0,0
The data bank device includes: a receiving unit configured to receive the identification information transmitted by each of the plurality of mobile communication terminals and the identification information and service information transmitted by the service information management device; and a verifying unit configured to verify each piece of the received identification information to specify a user having been provided with a service associated with the service information.,0,0
The sound-source positional information obtaining unit may obtain the sound-source positional information via a network.,0,0
This process can reduce the time during which no purge gas is supplied to the storage containers.,0,0
"', '(6) In the aspect of any one of (1) to (5), the fender reinforcement section may include a forward extension section extending forward substantially along an inner surface of the fender and a rearward extension section extending rearward substantially along the inner surface of the fender, and a fender receiving section that abuts with the inner surface of the fender may be formed on the forward extension section and the rearward extension section.",0,0
This makes it possible to avoid a problem that non-uniformity of voltage-current characteristics among current steering elements occurs.,0,0
"Accordingly, the antenna pattern and the terminal pattern may be connected through a separate wiring, but, in this case, there is a need to prevent the occurrence of a short circuit between the wiring and the antenna pattern.",2,0
"That is to say, even if the resin left on the surface of the mold has been removed successfully, it is difficult to remove the resin that has adhered to the inner wall of pores with as small a diameter as about a few hundred nm, for example, just by applying physical impact to it.",2,2
"In order to achieve the above object, a solid-state imaging apparatus according to an aspect of the present disclosure includes an imaging region; and a plurality of unit cells arranged two-dimensionally in the imaging region, the plurality of unit cells including a first unit cell and a second unit cell, wherein each of the plurality of unit cells has a light-receiving element and a light-collecting element, the first unit cell includes a first light-receiving element and a first light-collecting element, the first light-collecting element collects a first incident light to maximize an amount of a first light incident on the first light-receiving element when the first incident light is incident at a first angle-of-incidence, the second unit cell adjacent to the first unit cell includes a second light-receiving element and a second light-collecting element, the second light-collecting element collects a second incident light to maximize an amount of a second light incident on the second light-receiving element when the second incident light is incident at a second angle-of-incidence, an amount of the first light incident on the first light-receiving element when the first incident light is incident at a third angle-of-incidence on the first unit cell is equal to an amount of the second light incident on the second light-receiving element when the second incident light is incident at the third angle-of-incidence on the second unit cell, the first angle-of-incidence is greater than the third angle-of-incidence by a predetermined amount, and the second angle-of-incidence is smaller than the third angle-of-incidence by the predetermined amount.",0,0
"In accordance with the present invention, even if a temperature changes, and a magnification of a taken image changes, the magnification is compensated, so that the distance measurement can be carried out with high accuracy.",1,1
"Since the first and second speed change states are switched by a so-called two-way clutch device as described above, speed can be changed in both the forward and backward directions.",0,0
"As a result of slits or through holes being formed at the dielectric substrate near the radiation stepped portion, the antenna can increase a radiation gain and can emit a ratio wave farther.",1,1
"', 'In addition, according to the present disclosure, the size of the holding portion is enlarged, and stability can be enhanced when the stand-holder is used as a holder or stand.",1,1
"Thus, Additionally, by using ALucas a component of known luminescent enzymes that have hitherto been used in reporter-gene assay, yeast two-hybrid assay, mammalian two-hybrid assay, protein splicing assay (PSA), protein complementation assay (PCA), circular permutation assay, and bioluminescence resonance energy transfer (BRET) assay, which have been widely performed, it becomes possible to produce a luminescent probe having a high luminescence intensity and stability, thereby exponentially improving the measurement performance during these assays.",1,1
"', 'In the aspect described above, it is also preferable that the recording device stores the variation width of the measurement value, and the output device outputs the variation width with the environmental value along a time axis.",0,0
"In some applications, subjects to be measured may be highly harmful components such as explosive components and toxic components.",2,0
"According to the present invention, the loss at the time of power conversion by a power conversion device can be reduced by simple configurations.",1,1
"A sterilizer for toothbrushes, puffs for cosmetic use and cosmetic brushes according to the present invention is capable of drying and sterilizing toothbrushes that have no choice but to be infested with microorganisms in consequence of moisture that remains in the toothbrushes after use together with puffs for cosmetic use and cosmetic brushes in which bacteria proliferate when ignored after use or washed out and kept wet after a certain times of use.",1,0
"', 'Furthermore, a communication protocol for ultrasonic wireless power charging may be provided to increase management and operation efficiency.",1,1
"As a result, the portion where the anti-reflection film is separated (peeled) gives an apparently white-tinged image, impairing the image quality of the printed matter.",2,0
"For example, for the detection method of the positional marker section, it is possible to use motion capture of an optical system which exposes the positional marker section to light of a specific wavelength and calculates the positional information and the like from the captured image data in which the reflected light is captured.",1,0
"Also, the resin material infiltration-blocking member is configured so that an upper end thereof protrudes above an upper end location of the support members.",1,0
Another object of the present invention is to provide a sliding machine that comprises the sliding member.,2,0
"Accordingly, when a querying user has departed from a safe zone but is still located within the anonymized location region, the anonymizer/the apparatus for providing safe query results itself may perform recalculation and provide accurate query results for the current location of the querying user.",1,0
"', 'In an embodiment, the gate electrode is formed of a conductive film different from that of the source electrode and the drain electrode.",0,0
"According to the rack mount server system and the control method thereof of the present invention, since the system has a heat exchanger and an evaporator, which operate differently from each other in accordance with a threshold temperature: no damage is given to computation equipment even if a disorder occurs in a cooling device; it is easy to maintain; power consumption is minimized; the structure is simple; and an efficient cooling can be done.",1,1
"However, it cannot be said that the sealing performance of the insert is sufficiently secured in the structure of Patent Literature 1.",2,2
"', 'In one embodiment of the present invention, the document data obtaining unit may cause the conversion unit to convert the document data to thereby obtain the converted document data, and the converted text obtaining unit may cause the conversion unit to convert the text data, based on a parameter for use when the document data obtaining unit causes the conversion unit to convert the document data.",0,0
"', 'However, no matter how precisely synchronized, the two speeds cannot be made completely equal to each other: i.e., in reality, they have a certain amount of speed difference from each other.",2,2
"', 'In addition, in the technique that is disclosed in PTL 2, since minus distortion is applied to a maximum image height region of an image capturing lens, it is possible to increase a peripheral light quantity ratio (a proportion of light quantity of the periphery of an image with respect to a light quantity of the center of an image) of a captured image, and therefore, it is possible to improve blur in a peripheral portion of a captured image.",2,1
"In order to achieve the above exemplary object, a base station according to a first exemplary aspect of the invention includes first communication means for wirelessly communicating with a user equipment, second communication means for communicating with a service providing device that provides a service corresponding to a location of the user equipment, and control means for controlling the first and second communication means.",0,0
"are required when updating the estimator, so that frequently updating the estimator is not preferable.",2,0
"', 'According to the oil supply passage structure of the engine, portions of the oil supply passages which portions are formed at the cylinder block can be simplified, and in each of the engines which are different in displacement from one another, setting (design) of the upstream oil supply passage of the oil pan and the downstream oil supply passage of the cylinder block can be simplified in a short period of time.",1,1
The scanning signal lines subjected to dummy scanning may belong to the succeeding group.,0,0
"', 'The present invention has been made to solve the problem as described above, and an object of the present invention is to appropriately and smoothly perform in order to thereby improve the driving comfort, on an electrically-powered vehicle mounted with a plurality of vehicle-driving electric motors, the vibration-reduction control for reducing vehicle\'s vibrations by means of control of the torque of the electric motors.",2,1
"Moreover, in addition to metallic materials such as copper, nickel, and the like, which are materials of prior-art electronic components, and a solder joint portion of a printed circuit board, it describes high solder joining characteristics to a metallic electrode on glass.",2,0
"According to the present invention, it is possible to restrict the substrate bias effect of a high-side transistor while enhancing the heat radiation property of a low-side transistor.",1,1
"In such a case, however, the worker needs to replenish empty bags to each magazine while moving a place, and thus, the burden on the worker regarding the replenishing work increases as the number of storable empty bags increases (that is, as a size of the magazine and the number of magazines increase).",2,2
"', 'On the other hand, downsizing of a motor of a hybrid electric vehicle advances, showing a tendency of increasing a working current range.",2,0
The conductive paste for screen printing of the present invention is prepared by using these deprotecting agent and organic solvent in combination.,1,0
"Specifically, when the lid cover is mounted to the lid portion of the medicine container, the peripheral wall portion is pressed and widened by the lid portion, and accordingly a force that spreads outward in the radial direction is applied to the ceiling face portion of the lid cover.",0,0
The reflector includes a catching projection coupled to the catching portion.,0,0
The ratio x:y can be arbitrarily set.,2,0
"The left and right side frame extensions, the side-sill-side extensions, and the tunnel-side extensions therefore have large bending rigidity.",1,0
"Therefore, this requires a data temporal relocation, such as block copy, which is, however, time consuming (>100 msec) in application such as the solid-state drive, because it needs extra program and erase operations as shown in FIG.",2,2
"As a result of intensive studies, the present inventors have found that the above-described object can be achieved by applying a binder on a surface of a current collector, then sticking a powder having a certain fluidity onto a part of the current collector where the binder has been applied, and compressing the current collector and the powder, and thus have completed the present invention.",0,0
"', 'To address this, the present disclosure provides an information processing device, an information processing method and a computer program product that are novel and improved and that are capable of editing a cluster name by a more intuitive and simple operation.",2,1
"Thus, the present invention makes it possible to set a start timing of spouting flush water from the rim water spouting portion, to an earlier point, to allow cleaning of the bowl portion to be completed at a timing of or before termination of the siphon action, and thereby adequately perform a toilet cleaning operation even in a relatively small flush water amount.",0,0
"Further, with yard curing, after the primary curing, crushing work becomes necessary.",2,0
"', 'Non-patent Documents 5, 10, are another kind of static compile scheme which convert the decoded results of the binary executable program directly into host CPU\'s machine instructions, where a variety of (machine-specific) code optimization techniques can be applied, thus achieving the simulation speed comparable to native execution.",2,0
"Consequently, it is possible to obtain a composite material having a high proportion of a magnetic component.",0,0
"', 'Therefore, when switching the air-fuel ratio, it is conceivable to adopt a configuration that skips the air-fuel ratio region in which the amount of NOx emissions is large by changing the air-fuel ratio in a step manner from the stoichiometric air-fuel ratio to the lean air-fuel ratio.",2,0
"', 'Moreover, since the electrical/electronic part of the present invention has Cu exposed at the surface of the metal layer, an electrical/electronic part having excellent solderability to a site where the insulating film that includes at least a part of the metal layer is not provided, can be easily obtained.",1,1
"', 'Further, the technologies described in Patent Literatures 2 may make it impossible to sufficiently improve the magnetic properties of the alloy ribbon.",2,2
The tank cover is supported with the vehicle body frame.,1,0
"Each of the planetary gear sets forming the transmission mechanism generally includes a sun gear, a ring gear, a pinion, and a carrier.",2,0
"In accordance with an aspect of the present invention, a system overload control method of a wireless communication system includes a first step for transmitting a location update request message from a Mobility Management Entity (MME) received a Tracking Area Update (TAU) request message from a first terminal to a Home Subscriber Server (HSS), a second step for configuring, when the HSS determines that the system undergoes overload, an MME-backoff time for blocking transmission of request message to the HSS and transmitting a location update reject message including the MME-backoff time to the MME, and a third step for starting a backoff timer corresponding to the MME-backoff time and rejecting the TAU request message of the terminal which is received before expiry of the backoff timer.",0,0
This further reduces the adhesiveness of the solid lubricant coating.,2,2
"', 'Due to the use of image recognition with a visible-light camera, no possible image recognition in a place too bright or in a place too dark.",2,2
"', 'In view of the conventional technical problems, an object of the present invention is then to provide a method for producing PPE that includes less gel and that has good mechanical property and heat resistance.",2,1
"', '(2) The translucent structure according to the above (1), which has a translucent substrate having the above concavo-convex structure on its surface.",0,0
"Therefore, the crystal grains in the skeleton and the oxidation-reduction layer can be coarsened in the recrystallization step, and thus it is possible to manufacture the porous copper body having excellent thermal conductivity and electrical conductivity.",0,1
"In addition, because of the low storage elastic modulus, the strong pressing is suppressed, and scratches are less likely to be caused.",1,1
"A solid-state image pickup device according to the present invention is a solid-state image pickup device for generating image data according to an incident X-ray image, and comprises: a first substrate having a first pixel array with M×NA (M and NA are each an integer not less than 2) pixels each including a photodiode that are two-dimensionally arrayed in M rows and NA columns; a second substrate having a second pixel array with M×NB (NB is an integer not less than 2 and smaller than NA) pixels each including a photodiode that are two-dimensionally arrayed in M rows and NB columns, and a first column of which is arranged along an NA-th column of the first pixel array; (NA+NB) readout wiring lines disposed for each column of the first and second pixel arrays, and each connected to the photodiode included in the pixel of a corresponding column via a readout switch; a signal output section for holding a voltage value according to an amount of charge input through the readout wiring line, and outputting the held voltage value converted to a digital value by one or a plurality of analog/digital converters; and a scintillator for generating scintillation light in response to incident X-rays to convert the X-ray image into an optical image, and outputting the optical image to the first and second pixel arrays, in which one or a plurality of consecutive columns including a first column of the first pixel array and one or a plurality of consecutive columns including an NB-th column of the second pixel array serve as a non-sensitive region shielded from incident X-rays, and the signal output section outputs the digital values corresponding to the respective columns from the first column to an n-th column (2≦n', 'In the solid-state image pickup device according to the present invention, the first substrate having the first pixel array and the second substrate having the second pixel array smaller in the number of columns than the first pixel array are tiled so that the NA-th column of the first pixel array and the first column of the second pixel array lie along each other.",0,0
"Therefore, the processing liquid is excellently received by the guard regardless of the kind of the processing liquid.",0,1
"', 'With this structure, the useful life of the clutch can be extended because a large friction force does not act on the clutch, resulting in a construction machine with high endurance.",0,0
"According to the present invention, a fluctuation in transmission/reception characteristics due to pressure externally applied to the elastic wave transmitting/receiving unit of the electromechanical transducer can be corrected or compensated based on the pressure information detected by the pressure detecting unit.",1,0
"According to the present invention, it is possible to achieve power saving in a wireless terminal while a load among component carriers is distributed and the wireless terminal rapidly receives signals from a network.",1,1
"', 'In contrast, for example, when the fabric joint section is disposed on the side end section of the body rubber, it is difficult to maintain the shape of the pipe-shaped section.",0,2
"', 'In this way, in the state where the embedding blocks are accommodated in the magazine, it is possible to effectively read the ID data of all the embedding blocks in the magazine.",0,0
The ink adhering the roller further adheres to other portion of the recording medium to thereby frequently cause color bleeding.,2,2
Note that the resin adhesive is not shown in FIG.,2,0
"', 'According to an embodiment of the present invention, the auxiliary secondary barrier can be easily attached to the main secondary barrier, without an external heat source, by adhering the main secondary barrier and the auxiliary secondary barrier using the first heating member installed on the auxiliary secondary barrier.",1,0
"', 'It is preferred that the obtaining unit obtains reception quality information of radio signals received by each of the plurality of antennas at a predetermined interval, the recognition unit recognizes the variation trend of the value in relation to the reception quality of each of the antennas, and the determination unit estimates a value in relation to the reception quality of each of the antennas based on the variation trend of each of the antennas and determines the degree of correlation between the antennas based on the estimated value in relation to the reception quality.",0,0
"', 'In addition, since flow rate sensors are provided on the cold water supply pipe, and the flow rate sensors control an opening and closing valve on the basis of a detected flow rate, in a case in which cold water supply is required during a preheating mode, cold water can be prevented from being mixed with hot water when discharged.",1,0
"Thus, there is a problem of an increase in the cost.",2,2
"', 'An information reception device according to an exemplary aspect of the present invention includes: a personalization rules reception unit configured to receive the personalization rules from the information distribution device described above; a distribution information reception unit configured to receive the distribution information from the information distribution device; an action information acquisition unit configured to acquire action information representing an action of a user who uses the own device; a distribution information filtering unit configured to extract personalization rules including a selection condition that matches action information acquired by the action information acquisition unit from among personalization rules received by the personalization rules reception unit and select distribution information indicated by selection information included in the extracted personalization rules from distribution information received by the distribution information reception unit; and a distribution information presentation unit configured to output the distribution information selected by the distribution information filtering unit.",0,0
"However, laser scanning accuracy depends on mechanical accuracy, and for example, a meander in the XY direction or a shift in the Z direction (a shift of the depth of focus of laser) may result in formation of an uneven film or a film having an insufficiently transferred area.",2,2
It is desirable to suppress the degradation of the image quality of the reconstructed image as much as possible while reducing the exposure dose of the X-ray CT apparatus as much as possible.,2,1
"Thus, it is possible to obtain an operational effect in which, when information regarding an identifier for identifying a network is present in the specific field and the identifier is identical to an identifier of a network to which the self-device belongs despite non-satisfaction of the packet detection condition, a process of receiving the packet is continued.",0,0
"% SiC composite by hot-press sintering (1750° C.) can be lowered to 1550° C. Therefore, production of the ceramic can be conducted easily.",1,1
"Then, one combination of the designated retention time and designated wavelength at which the index value is within the predetermined range is selected and specified as the specific designated retention time and the specific designated wavelength.",0,0
